r_cm,nSF6_m-3,nSF5_m-3,nSF4_m-3,nSF3_m-3,nSF2_m-3,nSF_m-3,nS_m-3,nF_m-3,nF2_m-3
8.220255635814988,5.648358601910897e+19,1.3918544863817028e+19,4.373257431112339e+19,9.37428826948151e+18,1.292896924538999e+19,7.5469597580864e+18,7.588833491541359e+18,1.0993915811104098e+20,3.4127025841717843e+17
8.391057683293472,5.688607037743099e+19,1.381894338233668e+19,4.3684034242653315e+19,9.31099459501357e+18,1.2882511935313066e+19,7.522860801484382e+18,7.563596506195635e+18,1.0657440967199764e+20,3.4078213038776064e+17
8.556485599041498,5.724899102830243e+19,1.372679318671614e+19,4.363855001224474e+19,9.253876104190298e+18,1.2840512769584736e+19,7.501020858195069e+18,7.540657137414667e+18,1.0353669776572586e+20,3.403437790491144e+17
8.716607478116956,5.757442257908918e+19,1.364197996188955e+19,4.359568829789275e+19,9.202480610869417e+18,1.2802565073483493e+19,7.48123076891059e+18,7.51979013289479e+18,1.0078209155436506e+20,3.3995163394756704e+17
8.871498943756958,5.786449384386988e+19,1.3564361639307555e+19,4.355514874829947e+19,9.15639207121159e+18,1.2768316567422536e+19,7.463311480224019e+18,7.500807467339882e+18,9.827646040065499e+19,3.396023071132413e+17
9.021242410654596,5.8121358583944675e+19,1.34937584312994e+19,4.351670973472332e+19,9.115220788683889e+18,1.273745347280483e+19,7.447104770261558e+18,7.483546151548609e+18,9.59921509741848e+19,3.392925694085246e+17
9.165926367673084,5.834716981075148e+19,1.342995215730599e+19,4.348019856520736e+19,9.078598736819916e+18,1.270969163616781e+19,7.432468088115796e+18,7.467861431334506e+18,9.390607382108337e+19,3.390193437266358e+17
9.305644683477583,5.854405748134642e+19,1.3372689911194458e+19,4.3445474303753904e+19,9.046177301881951e+18,1.2684771191365e+19,7.419271474920015e+18,7.453622732929026e+18,9.199852507368964e+19,3.38779704492551e+17
9.44049593800507,5.871410987156744e+19,1.332168962660966e+19,4.341241748344717e+19,9.017626179165532e+18,1.2662453110882259e+19,7.407395601196594e+18,7.440711094570744e+18,9.025241804406722e+19,3.385708788892986e+17
9.57058278215975,5.885935841863931e+19,1.327664627314652e+19,4.338092377270439e+19,8.992632800707187e+18,1.2642516816190941e+19,7.396730432621783e+18,7.429017443972641e+18,8.865275691809132e+19,3.383902478370412e+17
9.696011327620301,5.898176564940988e+19,1.323723800952523e+19,4.3350899991297655e+19,8.970901980313477e+18,1.2624758407389684e+19,7.387174264424791e+18,7.418441378179529e+18,8.718626074362774e+19,3.382353459401687e+17
9.816890568178785,5.908321595212859e+19,1.3203131938232656e+19,4.3322261559775175e+19,8.952155616899434e+18,1.2608989269251686e+19,7.37863297999825e+18,7.408890252977635e+18,8.584108484003617e+19,3.3810386017278054e+17
9.933331833602182,5.91655087987939e+19,1.3173989284817607e+19,4.329493083849833e+19,8.936132378143541e+18,1.2595034914967765e+19,7.371019450593861e+18,7.400278469458684e+18,8.460660779722334e+19,3.3799362733116294e+17
10.045448276616877,5.923035409056385e+19,1.3149469928453818e+19,4.326883602423096e+19,8.922587329789125e+18,1.258273398625708e+19,7.364253026928581e+18,7.392526890192547e+18,8.347326414518356e+19,3.379026303955537e+17
10.153354393265081,5.9279369295337505e+19,1.3129236270922156e+19,4.3243910397321855e+19,8.911291499231816e+18,1.2571937361175386e+19,7.358259092988512e+18,7.385562343398206e+18,8.243240979895357e+19,3.378289939852518e+17
10.257165576569625,5.931407812150168e+19,1.311295646621673e+19,4.322009178884311e+19,8.902031374367488e+18,1.2562507340025962e+19,7.352968663786298e+18,7.379317188959559e+18,8.147621167510628e+19,3.377709790970675e+17
10.356997703168924,5.93359104843017e+19,1.310030705238314e+19,4.319732218479195e+19,8.894608344854048e+18,1.2554316891142023e+19,7.348318015733328e+18,7.373728929574266e+18,8.059755558077774e+19,3.3772697730573824e+17
10.452966752345947,5.9346203531037516e+19,1.309097503679694e+19,4.3175547414903325e+19,8.888838095626352e+18,1.2547248945172052e+19,7.34424834251222e+18,7.368739856204853e+18,7.978996822915583e+19,3.376955045859192e+17
