epsilon_eV,f0_boltzmann,f0_maxwell
29.55,0.0,4.767906642532624e-13
29.650000000000002,0.0,4.3305237868378077e-13
29.75,0.0,3.933264150156833e-13
29.85,0.0,3.5724470379149355e-13
29.950000000000003,0.0,3.2447294032358017e-13
30.05,0.0,2.9470748729050094e-13
30.150000000000002,0.0,2.6767256147297406e-13
30.25,0.0,2.4311767856402535e-13
30.35,0.0,2.2081533237887843e-13
30.450000000000003,0.0,2.005588869620336e-13
30.55,0.0,1.8216066206142477e-13
30.650000000000002,0.0,1.6545019423117315e-13
30.75,0.0,1.502726574517096e-13
30.85,0.0,1.364874286339401e-13
30.950000000000003,0.0,1.2396678471658246e-13
31.05,0.0,1.1259471928498282e-13
31.150000000000002,0.0,1.0226586774713835e-13
31.25,0.0,9.28845311084685e-14
31.35,0.0,8.436378930037916e-14
31.450000000000003,0.0,7.662469584744288e-14
31.55,0.0,6.959554641160227e-14
31.650000000000002,0.0,6.321121443630615e-14
31.75,0.0,5.741254773518945e-14
31.85,0.0,5.214582043454906e-14
31.950000000000003,0.0,4.7362235191760595e-14
32.05,0.0,4.3017471077575676e-14
32.150000000000006,0.0,3.907127293333385e-14
32.25,0.0,3.548707839840606e-14
32.35,0.0,3.223167915218352e-14
32.45,0.0,2.92749132319656e-14
32.55,0.0,2.658938557599365e-14
32.650000000000006,0.0,2.4150214202406943e-14
32.75,0.0,2.193479967241977e-14
32.85,0.0,1.9922615701736934e-14
32.95,0.0,1.8095018980189662e-14
33.05,0.0,1.6435076437522254e-14
33.150000000000006,0.0,1.4927408354913108e-14
33.25,0.0,1.3558045868627976e-14
33.35,0.0,1.2314301545540334e-14
33.45,0.0,1.1184651831381046e-14
33.55,0.0,1.0158630282569254e-14
33.650000000000006,0.0,9.226730592398696e-15
33.75,0.0,8.380318513095453e-15
33.85,0.0,7.611551857684898e-15
33.95,0.0,6.913307840470876e-15
34.05,0.0,6.279117082919435e-15
34.150000000000006,0.0,5.703103673497773e-15
34.25,0.0,5.179930726111187e-15
34.35,0.0,4.704750932724044e-15
34.45,0.0,4.273161652025693e-15
34.55,0.0,3.88116411802707e-15
34.650000000000006,0.0,3.525126390647965e-15
34.75,0.0,3.201749705024005e-15
34.85,0.0,2.908037907752011e-15
34.95,0.0,2.64126969689507e-15
35.05,0.0,2.3989734085444193e-15
35.150000000000006,0.0,2.1789041163303137e-15
35.25,0.0,1.979022831704436e-15
35.35,0.0,1.7974776122795144e-15
35.45,0.0,1.632586403191441e-15
35.55,0.0,1.4828214525050215e-15
35.650000000000006,0.0,1.346795156269128e-15
35.75,0.0,1.2232472020726094e-15
35.85,0.0,1.111032891983061e-15
35.95,0.0,1.0091125366783908e-15
36.05,0.0,9.165418225053135e-16
36.150000000000006,0.0,8.324630622135295e-16
36.25,0.0,7.560972483019606e-16
36.35,0.0,6.867368353494033e-16
36.45,0.0,6.237391844565635e-16
36.55,0.0,5.66520609060667e-16
36.650000000000006,0.0,5.145509669559887e-16
36.75,0.0,4.67348748414189e-16
36.85,0.0,4.2447661489477026e-16
36.95,0.0,3.8553734701100887e-16
37.05,0.0,3.5017016420830723e-16
37.150000000000006,0.0,3.18047382056013e-16
37.25,0.0,2.888713761818674e-16
37.35,0.0,2.623718247192147e-16
37.45,0.0,2.3830320371773787e-16
37.55,0.0,2.1644251231210338e-16
37.650000000000006,0.0,1.9658720657177352e-16
37.75,0.0,1.7855332288865047e-16
37.85,0.0,1.6217377351531207e-16
37.95,0.0,1.472967984616953e-16
38.05,0.0,1.3378455940668432e-16
38.150000000000006,0.0,1.2151186259689814e-16
38.25,0.0,1.1036499890008867e-16
38.35000000000001,0.0,1.0024069026596692e-16
38.45,0.0,9.104513283322887e-17
38.55,0.0,8.269312781692337e-17
38.650000000000006,0.0,7.510729212369494e-17
38.75,0.0,6.821734138105319e-17
38.85000000000001,0.0,6.19594387377866e-17
38.95,0.0,5.627560340203762e-17
39.05,0.0,5.111317343699621e-17
39.150000000000006,0.0,4.642431783691618e-17
39.25,0.0,4.2165593362729115e-17
39.35000000000001,0.0,3.829754203124125e-17
39.45,0.0,3.478432552857572e-17
39.55,0.0,3.159339316060804e-17
39.650000000000006,0.0,2.869518026390234e-17
39.75,0.0,2.6062834282850264e-17
39.85000000000001,0.0,2.3671965975060024e-17
39.95,0.0,2.150042343986855e-17
40.05,0.0,1.9528086876294055e-17
40.150000000000006,0.0,1.7736682168824152e-17
40.25,0.0,1.6109611573870065e-17
40.35000000000001,0.0,1.4631799938159994e-17
40.45,0.0,1.3289555024256363e-17
40.55,0.0,1.2070440649077516e-17
40.650000000000006,0.0,1.0963161460031906e-17
40.75,0.0,9.957458281186797e-18
40.85000000000001,0.0,9.044013059831946e-18
40.95,0.0,8.214362532750938e-18
41.05,0.0,7.460819812296491e-18
41.150000000000006,0.0,6.776403165750466e-18
41.25,0.0,6.154771328093349e-18
41.35000000000001,0.0,5.590164748841977e-18
41.45,0.0,5.0773522285964274e-18
41.55,0.0,4.611582450870207e-18
41.650000000000006,0.0,4.188539960138374e-18
41.75,0.0,3.804305178229154e-18
41.85000000000001,0.0,3.4553180886026264e-18
41.95,0.0,3.1383452520447166e-18
42.05,0.0,2.8504498481686123e-18
42.150000000000006,0.0,2.588964465152682e-18
42.25,0.0,2.351466385605698e-18
42.35000000000001,0.0,2.135755139577537e-18
42.45,0.0,1.939832116739788e-18
42.55,0.0,1.7618820488379913e-18
42.650000000000006,0.0,1.6002561908474263e-18
42.75,0.0,1.453457045001668e-18
42.85000000000001,0.0,1.3201244861588424e-18
42.95,0.0,1.1990231599545898e-18
43.05,0.0,1.0890310369824512e-18
43.150000000000006,0.0,9.891290169540858e-19
43.25,0.0,8.983914865195237e-19
43.35000000000001,0.0,8.159777432636102e-19
43.45,0.0,7.411242064203587e-19
43.55,0.0,6.731373421355154e-19
43.650000000000006,0.0,6.11387237728756e-19
43.75,0.0,5.553017654194435e-19
43.85000000000001,0.0,5.043612814416542e-19
43.95,0.0,4.580938114348055e-19
44.05,0.0,4.1607067750132834e-19
44.150000000000006,0.0,3.779025264152697e-19
44.25,0.0,3.4323572218229357e-19
44.35000000000001,0.0,3.1174906952736007e-19
44.45,0.0,2.8315083795258435e-19
44.55,0.0,2.571760587924185e-19
44.650000000000006,0.0,2.3358407022293924e-19
44.75,0.0,2.1215628747913698e-19
44.85000000000001,0.0,1.9269417762080615e-19
