T_e (eV),LXCat Biagi_v10_6 [k_iz (m^3 s^-1)],Lallement Arrhenius [k_iz (m^3 s^-1)]
4.304761904762,8.506118432e-16,2.198511892e-15
4.327819548872,8.737503492e-16,2.250032523e-15
4.350877192982,8.972893991e-16,2.30220487e-15
4.373934837093,9.212310869e-16,2.355027502e-15
4.396992481203,9.455774561e-16,2.408498895e-15
4.420050125313,9.703305e-16,2.462617442e-15
4.443107769424,9.954921617e-16,2.517381451e-15
4.466165413534,1.021064334e-15,2.572789146e-15
4.489223057644,1.047048862e-15,2.628838671e-15
4.512280701754,1.073447539e-15,2.685528094e-15
4.535338345865,1.100262109e-15,2.742855404e-15
4.558395989975,1.127494271e-15,2.800818518e-15
4.581453634085,1.155145671e-15,2.859415282e-15
4.604511278195,1.183217909e-15,2.918643468e-15
4.627568922306,1.211712537e-15,2.978500784e-15
4.650626566416,1.240631059e-15,3.038984871e-15
4.673684210526,1.269974933e-15,3.100093305e-15
4.696741854637,1.299745567e-15,3.1618236e-15
4.719799498747,1.329944327e-15,3.224173211e-15
4.742857142857,1.360572529e-15,3.287139533e-15
4.765914786967,1.391631446e-15,3.350719906e-15
4.788972431078,1.423122303e-15,3.414911614e-15
4.812030075188,1.455046282e-15,3.479711887e-15
4.835087719298,1.48740452e-15,3.545117907e-15
4.858145363409,1.520198109e-15,3.611126804e-15
4.881203007519,1.553428099e-15,3.677735659e-15
4.904260651629,1.587095494e-15,3.74494151e-15
4.927318295739,1.621201258e-15,3.812741349e-15
4.95037593985,1.655746311e-15,3.881132124e-15
4.97343358396,1.69073153e-15,3.950110742e-15
4.99649122807,1.726157753e-15,4.019674072e-15
5.01954887218,1.762025773e-15,4.089818942e-15
5.042606516291,1.798336347e-15,4.160542146e-15
5.065664160401,1.835090188e-15,4.231840439e-15
5.088721804511,1.87228797e-15,4.303710546e-15
5.111779448622,1.909930329e-15,4.376149156e-15
5.134837092732,1.94801786e-15,4.449152931e-15
5.157894736842,1.986551121e-15,4.522718498e-15
5.180952380952,2.025530632e-15,4.59684246e-15
5.204010025063,2.064956875e-15,4.671521391e-15
5.227067669173,2.104830295e-15,4.74675184e-15
5.250125313283,2.145151299e-15,4.822530329e-15
5.273182957393,2.18592026e-15,4.898853361e-15
5.296240601504,2.227137514e-15,4.975717412e-15
5.319298245614,2.268803363e-15,5.05311894e-15
5.342355889724,2.310918073e-15,5.131054383e-15
5.365413533835,2.353481875e-15,5.209520159e-15
5.388471177945,2.396494968e-15,5.28851267e-15
5.411528822055,2.439957516e-15,5.368028301e-15
5.434586466165,2.483869651e-15,5.44806342e-15
5.457644110276,2.528231473e-15,5.528614383e-15
5.480701754386,2.573043048e-15,5.60967753e-15
5.503759398496,2.618304413e-15,5.691249191e-15
5.526817042607,2.664015571e-15,5.773325684e-15
5.549874686717,2.710176496e-15,5.855903314e-15
5.572932330827,2.756787133e-15,5.93897838e-15
5.595989974937,2.803847394e-15,6.022547171e-15
5.619047619048,2.851357165e-15,6.106605966e-15
5.642105263158,2.899316301e-15,6.19115104e-15
5.665162907268,2.947724628e-15,6.276178661e-15
5.688220551378,2.996581947e-15,6.361685091e-15
5.711278195489,3.045888029e-15,6.447666587e-15
5.734335839599,3.095642618e-15,6.534119405e-15
5.757393483709,3.145845432e-15,6.621039794e-15
5.78045112782,3.196496162e-15,6.708424004e-15
5.80350877193,3.247594474e-15,6.796268282e-15
5.82656641604,3.299140008e-15,6.884568875e-15
5.84962406015,3.35113238e-15,6.973322028e-15
5.872681704261,3.403571179e-15,7.062523989e-15
5.895739348371,3.456455973e-15,7.152171005e-15
5.918796992481,3.509786303e-15,7.242259325e-15
5.941854636591,3.56356169e-15,7.332785203e-15
5.964912280702,3.617781629e-15,7.423744893e-15
5.987969924812,3.672445595e-15,7.515134653e-15
6.011027568922,3.727553038e-15,7.606950747e-15
6.034085213033,3.783103389e-15,7.699189441e-15
6.057142857143,3.839096057e-15,7.791847008e-15
6.080200501253,3.895530427e-15,7.884919727e-15
6.103258145363,3.952405869e-15,7.978403881e-15
6.126315789474,4.009721727e-15,8.072295762e-15
6.149373433584,4.067477329e-15,8.166591668e-15
6.172431077694,4.125671982e-15,8.261287905e-15
6.195488721805,4.184304974e-15,8.356380788e-15
6.218546365915,4.243375575e-15,8.451866638e-15
6.241604010025,4.302883036e-15,8.547741787e-15
6.264661654135,4.362826588e-15,8.644002576e-15
6.287719298246,4.423205449e-15,8.740645355e-15
6.310776942356,4.484018815e-15,8.837666486e-15
6.333834586466,4.545265868e-15,8.935062338e-15
6.356892230576,4.606945772e-15,9.032829294e-15
6.379949874687,4.669057675e-15,9.130963747e-15
6.403007518797,4.731600708e-15,9.229462102e-15
6.426065162907,4.794573989e-15,9.328320774e-15
6.449122807018,4.857976618e-15,9.427536193e-15
6.472180451128,4.92180768e-15,9.527104799e-15
6.495238095238,4.986066248e-15,9.627023046e-15
