T_e (eV),LXCat Biagi_v10_6 [k_att (m^3 s^-1)],Lallement Arrhenius [k_att (m^3 s^-1)]
7.970927318296,4.850261992e-16,1.317616963e-16
7.993984962406,4.834064076e-16,1.312238377e-16
8.017042606516,4.817963078e-16,1.306832365e-16
8.040100250627,4.801958126e-16,1.301399434e-16
8.063157894737,4.786048359e-16,1.295940095e-16
8.086215538847,4.770232925e-16,1.290454859e-16
8.109273182957,4.754510984e-16,1.284944238e-16
8.132330827068,4.738881706e-16,1.279408748e-16
8.155388471178,4.72334427e-16,1.273848906e-16
8.178446115288,4.707897867e-16,1.26826523e-16
8.201503759398,4.692541694e-16,1.26265824e-16
8.224561403509,4.677274963e-16,1.257028457e-16
8.247619047619,4.662096889e-16,1.251376405e-16
8.270676691729,4.647006702e-16,1.245702608e-16
8.29373433584,4.632003638e-16,1.240007589e-16
8.31679197995,4.617086942e-16,1.234291876e-16
8.33984962406,4.60225587e-16,1.228555995e-16
8.36290726817,4.587509685e-16,1.222800474e-16
8.385964912281,4.572847658e-16,1.217025841e-16
8.409022556391,4.558269071e-16,1.211232626e-16
8.432080200501,4.543773211e-16,1.205421358e-16
8.455137844612,4.529359377e-16,1.199592566e-16
8.478195488722,4.515026874e-16,1.193746782e-16
8.501253132832,4.500775013e-16,1.187884534e-16
8.524310776942,4.486603118e-16,1.182006354e-16
8.547368421053,4.472510516e-16,1.176112773e-16
8.570426065163,4.458496544e-16,1.170204319e-16
8.593483709273,4.444560546e-16,1.164281524e-16
8.616541353383,4.430701874e-16,1.158344918e-16
8.639598997494,4.416919886e-16,1.152395028e-16
8.662656641604,4.403213948e-16,1.146432386e-16
8.685714285714,4.389583434e-16,1.140457518e-16
8.708771929825,4.376027724e-16,1.134470952e-16
8.731829573935,4.362546205e-16,1.128473215e-16
8.754887218045,4.34913827e-16,1.122464834e-16
8.777944862155,4.335803321e-16,1.116446332e-16
8.801002506266,4.322540764e-16,1.110418234e-16
8.824060150376,4.309350014e-16,1.104381063e-16
8.847117794486,4.296230491e-16,1.09833534e-16
8.870175438596,4.283181621e-16,1.092281585e-16
8.893233082707,4.270202836e-16,1.086220318e-16
8.916290726817,4.257293577e-16,1.080152055e-16
8.939348370927,4.244453289e-16,1.074077312e-16
8.962406015038,4.231681422e-16,1.067996603e-16
8.985463659148,4.218977433e-16,1.06191044e-16
9.008521303258,4.206340786e-16,1.055819334e-16
9.031578947368,4.193770948e-16,1.049723794e-16
9.054636591479,4.181267396e-16,1.043624325e-16
9.077694235589,4.168829607e-16,1.037521432e-16
9.100751879699,4.156457069e-16,1.031415618e-16
9.12380952381,4.144149271e-16,1.025307383e-16
