composition,bias,r_cm,nF_m-3,nF_normalized
30pct_SF6,bias_off,9.021242410654596,3.934409286997628e+19,0.3087459310659349
30pct_SF6,bias_off,9.165926367673084,3.847032900924913e+19,0.3018892210229939
30pct_SF6,bias_off,9.305644683477583,3.767301140069374e+19,0.29563240965814097
30pct_SF6,bias_off,9.44049593800507,3.694469588959517e+19,0.2899170802609931
30pct_SF6,bias_off,9.57058278215975,3.627885027312135e+19,0.2846919725050774
30pct_SF6,bias_off,9.696011327620301,3.566969345499565e+19,0.2799117202420775
30pct_SF6,bias_off,9.816890568178785,3.511207540373e+19,0.2755359094949307
30pct_SF6,bias_off,9.933331833602182,3.460138472188921e+19,0.2715283531236932
30pct_SF6,bias_off,10.045448276616877,3.4133475556623843e+19,0.26785651726864973
30pct_SF6,bias_off,10.153354393265081,3.370460848423852e+19,0.26449105745223667
30pct_SF6,bias_off,10.257165576569625,3.3311401775362978e+19,0.2614054361409421
30pct_SF6,bias_off,10.356997703168924,3.2950790566245843e+19,0.25857560234912924
30pct_SF6,bias_off,10.452966752345947,3.26199921878631e+19,0.2559797195652408
30pct_SF6,bias_on,0.15111271804043516,1.8982685578862228e+20,1.0
30pct_SF6,bias_on,0.4531642392322628,1.8928317943887882e+20,0.9971359355477664
30pct_SF6,bias_on,0.754694815467764,1.8820359902862954e+20,0.9914487507405154
